Model,Accuracy,Precision (Illicit),Recall (Illicit),F1-score (Illicit),ROC-AUC,PR-AUC,Threshold
GraphSAGE thr=0.5,0.9736,0.8415,0.8988,0.8692,0.9848,0.9405,0.5
GraphSAGE bestF1,0.9819,0.955,0.8548,0.9021,0.9848,0.9405,0.891
